Pad;X_mm;Y_mm;Signal;Kategorie
A3;-16.92;-17.415;USBC_I2C_SDA;USB
A4;-15.98;-17.415;VSS;VSS
A5;-15.04;-17.415;RSVD;Debug
A6;-14.1;-17.415;DP0_VARY_BL;Steuerung
A7;-13.16;-17.415;DP0_DIGON;Steuerung
A8;-12.22;-17.415;VSS;VSS
A9;-11.28;-17.415;VSS;VSS
A10;-10.34;-17.415;USBC2_RX2N/DP3_TXN[0];Reserviert
A11;-9.4;-17.415;VSS;VSS
A12;-8.46;-17.415;USBC2_RX1P/USB2_RXP/DP3_TXP[3];Reserviert
A13;-7.52;-17.415;VSS;VSS
A14;-6.58;-17.415;USBC1_RX2N/DP2_TXN[0];Reserviert
A15;-5.64;-17.415;VSS;VSS
A20;-0.94;-17.415;VSS;VSS
A22;0.94;-17.415;USBC0_RX1N/USB0_RXN/DP1_TXN[3];Reserviert
A23;1.88;-17.415;VSS;VSS
A24;2.82;-17.415;MAA_DATA[2];Speicher-B
A25;3.76;-17.415;VSS;VSS
A26;4.7;-17.415;MAA_DQS_H[0];Speicher-B
A27;5.64;-17.415;MAA_DATA[4];Speicher-B
A28;6.58;-17.415;VSS;VSS
A29;7.52;-17.415;MAA_DATA[11];Speicher-B
A30;8.46;-17.415;MAA_DM[1];Speicher-B
A31;9.4;-17.415;VSS;VSS
A32;10.34;-17.415;MAA_DATA[13];Speicher-B
A33;11.28;-17.415;MAA_DATA[18];Speicher-B
A34;12.22;-17.415;VSS;VSS
A35;13.16;-17.415;MAA_DQS_H[2];Speicher-B
A36;14.1;-17.415;MAA_DATA[20];Speicher-B
A37;15.04;-17.415;VSS;VSS
A38;15.98;-17.415;MBA_DATA[26];Speicher-A
A39;16.92;-17.415;MBA_DATA[24];Speicher-A
B3;-16.92;-16.605;USBC_I2C_SCL;USB
B4;-15.98;-16.605;RSVD;Debug
B5;-15.04;-16.605;SVC;Takt/Debug
B6;-14.1;-16.605;VSS;VSS
B7;-13.16;-16.605;DP0_BLON;Steuerung
B8;-12.22;-16.605;VSS;VSS
B9;-11.28;-16.605;VSS;VSS
B10;-10.34;-16.605;USBC2_RX2P/DP3_TXP[0];Reserviert
B11;-9.4;-16.605;VSS;VSS
B12;-8.46;-16.605;USBC2_RX1N/USB2_RXN/DP3_TXN[3];Reserviert
B13;-7.52;-16.605;VSS;VSS
B14;-6.58;-16.605;USBC1_RX2P/DP2_TXP[0];Reserviert
B15;-5.64;-16.605;VSS;VSS
B16;-4.7;-16.605;USBC1_RX1N/USB1_RXN/DP2_TXN[3];Reserviert
B17;-3.76;-16.605;USBC1_RX1P/USB1_RXP/DP2_TXP[3];Reserviert
B18;-2.82;-16.605;VSS;VSS
B19;-1.88;-16.605;USBC0_RX2P/DP1_TXP[0];Reserviert
B20;-0.94;-16.605;USBC0_RX2N/DP1_TXN[0];Reserviert
B21;0.0;-16.605;VSS;VSS
B22;0.94;-16.605;USBC0_RX1P/USB0_RXP/DP1_TXP[3];Reserviert
B23;1.88;-16.605;VSS;VSS
B24;2.82;-16.605;MAA_DATA[1];Speicher-B
B25;3.76;-16.605;MAA_DQS_L[0];Speicher-B
B26;4.7;-16.605;VSS;VSS
B27;5.64;-16.605;MAA_DATA[7];Speicher-B
B28;6.58;-16.605;MAA_DATA[8];Speicher-B
B29;7.52;-16.605;VSS;VSS
B30;8.46;-16.605;VSS;VSS
B31;9.4;-16.605;MAA_DATA[12];Speicher-B
B32;10.34;-16.605;VSS;VSS
B33;11.28;-16.605;MAA_DATA[17];Speicher-B
B34;12.22;-16.605;MAA_DQS_L[2];Speicher-B
B35;13.16;-16.605;VSS;VSS
B36;14.1;-16.605;MAA_DATA[21];Speicher-B
B37;15.04;-16.605;VSS;VSS
B38;15.98;-16.605;MBA_DATA[27];Speicher-A
B39;16.92;-16.605;VSS;VSS
C1;-18.8;-15.795;VSS;VSS
C2;-17.86;-15.795;DMIC_CLK;HDA/DMIC
C3;-16.92;-15.795;DMIC_DATA0;HDA/DMIC
C4;-15.98;-15.795;VSS;VSS
C5;-15.04;-15.795;SVT;Takt/Debug
C6;-14.1;-15.795;RSVD;Debug
C7;-13.16;-15.795;VSS;VSS
C8;-12.22;-15.795;VSS;VSS
C9;-11.28;-15.795;VSS;VSS
C10;-10.34;-15.795;VSS;VSS
C11;-9.4;-15.795;VSS;VSS
C12;-8.46;-15.795;VSS;VSS
C13;-7.52;-15.795;VSS;VSS
C14;-6.58;-15.795;VSS;VSS
C15;-5.64;-15.795;VSS;VSS
C16;-4.7;-15.795;VSS;VSS
C17;-3.76;-15.795;VSS;VSS
C18;-2.82;-15.795;VSS;VSS
C19;-1.88;-15.795;VSS;VSS
C20;-0.94;-15.795;VSS;VSS
C22;0.94;-15.795;VSS;VSS
C23;1.88;-15.795;VSS;VSS
C24;2.82;-15.795;MAA_DATA[0];Speicher-B
