Comment,Designator,Footprint,LCSC Part #
22u,C1,C_0805_2012Metric,C45783
100n,C2,C_0603_1608Metric,C14663
SS14,D1,D_SMA,C2480
zum Main-Board,J1,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,C157935
OLED 0.96,J2,PinHeader_1x04_P2.54mm_Vertical,C2337
WS2812B,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C114586
0R,R1,R_0603_1608Metric,C21189
2k2,R2,R_0603_1608Metric,C4190
4k7,R3,R_0603_1608Metric,C23162
10k,R4,R_0603_1608Metric,C25804
22k,R5,R_0603_1608Metric,C31850
330R,R6,R_0603_1608Metric,C23138
POWER,SW1,SW_PUSH_6mm_H13mm,C221929
VOL+,SW2,SW_PUSH_6mm_H13mm,C221929
VOL-,SW3,SW_PUSH_6mm_H13mm,C221929
BT,SW4,SW_PUSH_6mm_H13mm,C221929
PLAY,SW5,SW_PUSH_6mm_H13mm,C221929
NEXT,SW6,SW_PUSH_6mm_H13mm,C221929
