Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",44.000000,-17.500000,0.000000,top
"C2","100n","C_0603_1608Metric",23.805000,-12.055000,0.000000,top
"D1","SS14","D_SMA",44.500000,-14.000000,0.000000,top
"J1","zum Main-Board","JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical",12.000000,-16.500000,0.000000,top
"J2","OLED 0.96","PinHeader_1x04_P2.54mm_Vertical",36.000000,-16.500000,0.000000,top
"LED1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.500000,-15.000000,0.000000,top
"R1","0R","R_0603_1608Metric",3.804999,-12.055000,0.000000,top
"R2","2k2","R_0603_1608Metric",7.805000,-12.055000,0.000000,top
"R3","4k7","R_0603_1608Metric",11.805000,-12.055000,0.000000,top
"R4","10k","R_0603_1608Metric",15.805000,-12.055000,0.000000,top
"R5","22k","R_0603_1608Metric",19.805000,-12.055000,0.000000,top
"R6","330R","R_0603_1608Metric",27.805000,-12.055000,0.000000,top
"SW1","POWER","SW_PUSH_6mm_H13mm",5.000000,-6.000000,90.000000,top
"SW2","VOL+","SW_PUSH_6mm_H13mm",14.000000,-6.000000,90.000000,top
"SW3","VOL-","SW_PUSH_6mm_H13mm",23.000000,-6.000000,90.000000,top
"SW4","BT","SW_PUSH_6mm_H13mm",32.000000,-6.000000,90.000000,top
"SW5","PLAY","SW_PUSH_6mm_H13mm",41.000000,-6.000000,90.000000,top
"SW6","NEXT","SW_PUSH_6mm_H13mm",50.000000,-6.000000,90.000000,top
